"id","price_doc"
30474,5768612.5
30475,8422862
30476,5526790
30477,6148431.5
30478,5249685.5
30479,10456750
30480,4699285.5
30481,4492438
30482,5098902.5
30483,4807109
30484,6902506
30485,5245995.5
30486,4036939.5
30487,4107244.75
30488,6516832
30489,6481202
30490,22591284
30491,19676504
30492,5886776.5
30493,15315100
30494,7119276
30495,11632022
30496,9754884
30497,8819590
30498,4929297
30499,8593570
30500,11473742
30501,7415800.5
30502,3410813.5
30503,7110725.5
30504,6284851
30505,11951216
30506,3723424
30507,5078495
30508,5930205
30509,7919648.5
30510,9468008
30511,6844479
30512,6872560
30513,4757506.5
30514,3770399.25
30515,9775104
30516,6399876.5
30517,12632494
30518,8393338
30519,4881988
30520,7270502.5
30521,6413556.5
30522,8099170.5
30523,6678439.5
30524,10535770
30525,12258444
30526,5157110.5
30527,5550672.5
30528,7031296.5
30529,7168593.5
30530,6548950.5
30531,15225950
30532,5088444
30533,10740312
30534,7164737
30535,9774658
30536,6031151.5
30537,12316642
30538,5610605.5
30539,10791134
30540,9813182
30541,6372420
30542,2345151.25
30543,5961911.5
30544,7532949
30545,8629244
30546,4746480
30547,9911116
30548,4652597.5
30549,5770037
30550,12013752
30551,5600948.5
30552,2085583.5
30553,7222674
30554,11876518
30555,6779560
30556,9404928
30557,8312922.5
30558,9499704
30559,7141814
30560,7007578.5
30561,7473156.5
30562,12694478
30563,6045301.5
30564,7643607
30565,7079091
30566,7591484
30567,2153435.75
30568,9759522
30569,9865360
30570,7004742.5
30571,7588803.5
30572,5290175
30573,6902957
30574,6829088.5
30575,8224845.5
30576,5106841
30577,4717567.5
30578,3714716.75
30579,7622379
30580,5161575
30581,5842537
30582,12707764
30583,7243619.5
30584,5004331.5
30585,2919252.25
30586,9484650
30587,6286633.5
30588,8853836
30589,8592280
30590,13338440
30591,5537920
30592,7059599.5
30593,9367714
30594,8249754.5
30595,5985574
30596,7624986.5
30597,6902957
30598,9774424
30599,11855608
30600,5788794
30601,6551029
30602,1971744
30603,12852326
30604,4963780.5
30605,6964790
30606,19550690
30607,7484030
30608,8594524
30609,6503924
30610,3333315.75
30611,5985247
30612,7664409.5
30613,8230654.5
30614,18230664
30615,7995979.5
30616,6144461.5
30617,9610692
30618,5411575
30619,4626087.5
30620,3021702
30621,9640806
30622,8554114
30623,6754990
30624,7281457.5
30625,8441890
30626,7271026.5
30627,8025227
30628,6840047.5
30629,5440643
30630,5236037
30631,6384064.5
30632,4360802
30633,6498038
30634,12075440
30635,9816274
30636,5858015.5
30637,9835192
30638,6733438
30639,7986307
30640,4867065.5
30641,8982948
30642,6990984
30643,8453998
30644,9703490
30645,7823277
30646,5551945.5
30647,5125946
30648,25072116
30649,2575198.25
30650,5510782
30651,3806476.75
30652,4871739
30653,7969788.5
30654,4838917
30655,13672614
30656,4233203
30657,6598942.5
30658,11048714
30659,5035303
30660,8835700
30661,7182200
30662,8878784
30663,18844542
30664,13918268
30665,6415375.5
30666,3094443.5
30667,4533682
30668,9523566
30669,5158937.5
30670,2739742.5
30671,8149746.5
30672,15552546
30673,11089192
30674,11720034
30675,2245151.75
30676,7316820.5
30677,4480985
30678,19455362
30679,6569917
30680,5606250
30681,2767346
30682,8776652
30683,9939930
30684,5353675.5
30685,8311768.5
30686,10105712
30687,5253336
30688,4924168
30689,15590078
30690,24083184
30691,4752074
30692,6991264.5
30693,11696976
30694,5915742.5
30695,7617699
30696,7276863
30697,12673428
30698,8292040
30699,6012982
30700,5246084.5
30701,9618084
30702,6403463.5
30703,4233821
30704,11618364
30705,10125082
30706,22968414
30707,4233520.5
30708,14248512
30709,6314675.5
30710,6301135.5
30711,5044227
30712,4416426
30713,6658408.5
30714,7631184.5
30715,4373250.5
30716,9947712
30717,7084564
30718,10337984
30719,15601844
30720,8100569
30721,4698160.5
30722,7402423.5
30723,6503858
